"","id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
"128",333,"Killer Instinct (2013)",224466.96,53,128
"129",679,"Pocket Rumble",60,1,3
"130",685,"Samurai Shodown III",30,1,3
"131",686,"Schwarzerblitz",100,1,3
"132",687,"Shrek SuperSlam",50,1,3
"133",688,"Slap City",300,1,3
"134",167,"Street Fighter III: 3rd Strike",49378.86,35,83
"135",441,"King of Fighters XIV",72902.09,37,90
"136",616,"Them's Fightin' Herds",580,4,10
"137",618,"Umineko: Golden Fantasia",140,2,6
"138",665,"Internet Chess Club",10000,1,6
"139",597,"Arcana Heart 3: Love Max Six Stars!!!!!",570,4,8
"140",612,"Kill la Kill the Game: IF",920,4,12
"141",562,"Mario Tennis Aces",61.3,2,6
"142",458,"Melty Blood: Actress Again Current Code",8587.76,18,48
"143",683,"Punch Planet",300,1,3
"144",684,"Roof Rage",50,1,3
"145",459,"Skullgirls 2nd Encore",18321,12,34
"146",644,"Legends of Runeterra",118481.03,5,30
"147",653,"Prophecy",13000,4,27
"148",630,"Farming Simulator 19",158361.3,12,84
"149",387,"Unreal Tournament (2016)",5084.97,8,82
"150",647,"Escape from Tarkov",84600,3,127
"151",374,"Super Smash Bros. for Wii U",1511976.47,1022,1264
"152",205,"Super Smash Bros. Brawl",246715.83,344,499
"153",642,"Street Fighter V: Champion Edition",33628.66,2,10
"154",564,"Shadowverse",3211177.09,42,239
"155",586,"Brawl Stars",94950,10,51
"156",583,"Mortal Kombat 11",392602.33,37,158
"157",588,"Dota Underlords",26024.18,36,62
"158",567,"Magic: The Gathering Arena",6012000,38,241
"159",541,"Dragon Ball FighterZ",337985.4,73,159
"160",536,"Street Fighter V: Arcade Edition",2017135.95,100,229
"161",511,"Under Night In-Birth EXE: Late[st]",46553.33,34,98
"162",442,"King of Fighters 2002 Unlimited Match",760,2,6
"163",241,"King of Fighters XIII",44724.28,43,107
"164",641,"Magical Drop III",130,1,3
"165",593,"Samurai Shodown (2019)",68009.91,15,58
"166",594,"Mario Kart 8 Deluxe",1754.44,4,30
"167",509,"Splatoon 2",10055,7,13
"168",166,"Super Street Fighter II Turbo",23678.05,44,104
"169",158,"WarCraft III",5811479.73,1335,558
"170",548,"BlazBlue: Cross Tag Battle",82800.03,31,89
"171",195,"Capcom vs. SNK 2",24186.79,19,36
"172",470,"Marvel vs. Capcom: Infinite",42482.12,19,49
"173",599,"Mystery Game Tournament",10995,8,56
"174",334,"Guilty Gear XX Accent Core Plus R",4640,19,61
"175",249,"Ultimate Marvel vs. Capcom 3",116733.16,169,190
"176",510,"Age of Empires",190075.61,95,246
"177",633,"Dirt Rally 2.0",10000,2,5
"178",634,"UNO",20000,2,16
"179",610,"F1 2019",538047.38,2,25
"180",603,"Ring of Elysium",70000,4,9
"181",636,"Shovel Knight Showdown",60,1,3
"182",627,"TEPPEN",456721.47,1,12
"183",694,"Multigaming",148384.33,3,19
"184",528,"Battalion 1944",185654.67,21,114
"185",632,"GRID (2019)",218.75,1,3
"186",155,"Halo 3",2158079.4,41,210
"187",156,"Halo: Reach",822089.97,29,101
"188",489,"Attack on Titan Tribute Game",108650,15,21
"189",165,"World of WarCraft",4957837.61,118,413
"190",589,"Auto Chess",1076322.28,6,72
"191",623,"WWE 2K20",50000,2,20
"192",385,"Street Fighter Alpha 2",1390,8,17
"193",635,"Big Buck Hunter Arcade",76200,1,3
"194",187,"Tekken 5: Dark Resurrection",12180,5,18
"195",341,"Virtua Fighter 5 Final Showdown",573.77,6,28
"196",331,"Project M",205292.09,335,560
"197",561,"Project Cars 2",66150,22,37
"198",389,"Persona 4 Arena Ultimax",18828.16,19,58
"199",625,"Asphalt 9: Legends",51520,2,5
"200",622,"Borderlands 3",50000,1,16
"201",434,"Street Fighter V",2202726.43,120,233
"202",704,"Call of Duty: Blackout",611608.35,18,175
"203",556,"FIFA 19",3242642.34,48,303
"204",520,"Yu-Gi-Oh! Duel Links",48746.72,219,328
"205",486,"Naruto Shippuden: Ultimate Ninja Storm 4",4550,5,7
"206",457,"Aquapazza: Aquaplus Dream Match",245,2,5
"207",608,"Hokuto no Ken",145,1,3
"208",420,"Nitroplus Blasterz: Heroines Infinite Duel",1994,4,10
"209",210,"Tatsunoko vs. Capcom: Ultimate All-Stars",1330.81,8,13
"210",617,"Catherine: Full Body",185,1,3
"211",604,"Guilty Gear",32,1,3
"212",619,"Project Justice",165,1,3
"213",585,"Teenage Mutant Ninja Turtles: Tournament Fighters",820,2,7
"214",620,"Ultra Fight Da! Kyanta 2",320,1,3
"215",607,"Fighter's History Dynamite",195,1,3
"216",161,"Quake II",140179.5,10,32
"217",494,"Injustice 2",835742.83,37,81
"218",652,"Mordhau",16623,3,40
"219",624,"Sea of Thieves",1e+05,4,67
"220",602,"King of Fighters 98",7945.57,3,7
"221",645,"Pro Evolution Soccer 2019",216000,2,25
"222",705,"Stardew Valley",54250,2,56
"223",571,"Guns of Boom",198750,21,8
"224",582,"Splitgate: Arena Warfare",50000,2,64
"225",197,"Soul Calibur II",4790,7,15
"226",584,"Street Fighter EX2 Plus",350,2,5
"227",213,"Street Fighter X Tekken",84090.64,93,115
"228",545,"Magic: The Gathering Online",1218000,10,130
"229",496,"Wolfenstein: Enemy Territory",140963.24,18,152
"230",590,"Warparty",1000,1,4
"231",572,"NHL 19",22566.67,8,10
"232",452,"Gears of War 4",3087285,41,135
"233",573,"Madden NFL 19",125000,3,5
"234",359,"TrackMania 2: Canyon",22098.74,36,21
"235",701,"Sekiro: Shadows Die Twice",19596,1,20
"236",600,"Company of Heroes 2",8561.22,6,11
"237",703,"The Division 2",27250,2,40
"238",226,"Counter-Strike: Source",3117222.29,333,1502
"239",502,"Hand of the Gods",94434.2,36,48
"240",448,"Mortal Kombat XL",129203.79,17,50
"241",191,"Virtua Fighter 5",39830,7,14
"242",522,"Black Squad",8480.72,17,57
"243",391,"Mortal Kombat X",523532.42,62,100
"244",596,"Super Mario Party",220,1,4
"245",565,"Creative Destruction",1e+05,1,8
"246",525,"osu!",23100,7,971
"247",518,"FIFA 18",2233697.69,48,238
"248",423,"Halo 5: Guardians",7071480.97,75,233
"249",346,"Point Blank",699167.75,32,297
"250",351,"SMITE",8640112.75,95,522
"251",579,"F1 2018",2e+05,1,21
"252",345,"World of Tanks",3656496.59,50,403
"253",490,"Call of Duty: World War II",4559271,64,266
"254",517,"World of Tanks Blitz",63330,6,14
"255",611,"SNK Heroines: Tag Team Frenzy",430,1,3
"256",274,"Battlefield 4",245766.46,145,204
"257",530,"Warface",109555,2,32
"258",388,"Dead or Alive 5: Last Round",8163.82,19,45
"259",353,"Street Fighter Alpha 3",300,4,15
"260",550,"Pro Evolution Soccer 2018",250000,3,20
"261",538,"NBA 2K18",1e+06,4,91
"262",157,"Quake Live",682294.04,410,213
"263",546,"Realm Royale",263000,9,47
"264",178,"Age of Mythology",52360,6,22
"265",542,"NHL 18",102700,6,20
"266",473,"Critical Ops",12606.41,3,4
"267",419,"H1Z1",2067122,13,119
"268",453,"Battlerite",65173.45,75,86
"269",503,"Pokémon VGC",211500,24,170
