"TeamId","TeamName","TotalUSDPrize","TotalTournaments"
139,"WeMade FOX",379900.51,87
609,"Chinese National Team",376925.36,25
613,"Lunatic-hai",376129.41,21
482,"Team Kongdoo",374172.35,34
24957,"Toronto Ultra",370000,4
323,"x6tence",367450.77,90
921,"Actoz Stars",366375.5,9
688,"Florida Mutineers",366000,7
25049,"OpTic Gaming Los Angeles",360000,5
462,"exceL eSports",358344.52,73
485,"Longzhu Gaming",355907.81,8
121,"Radical Online X-tremists",352203.38,180
713,"Marines Esports",351535.06,15
349,"Team Celestial",350689.91,29
24742,"Dragon Phoenix Gaming",350449.13,96
304,"Team Archon",347056.08,63
797,"Rogue Warriors",346385.8,10
920,"CR4ZY",341535.19,52
220,"Team Roccat",340809.58,100
24828,"Infantry Clan",340077.96,13
967,"Enigma6 Group",339375,18
24707,"DarkZero Esports",338000,11
928,"Werder Bremen eSports",337338.8,14
516,"I May",335703.2,5
817,"FlyToMoon",335161,15
24835,"BOOM Esports",334439.16,36
306,"Nihilum Gaming",333932.42,39
695,"Vietnamese National Team",332500,8
24945,"King of Gamers Club",329420.93,8
790,"Sprout",328749.05,40
481,"Supremacy",325335.57,86
236,"Team Curse",322901.58,140
823,"Welcome to South Georgo",322800,9
698,"Team One More",321122.23,9
421,"Reason Gaming",318181.8,135
586,"French National Team",316879.45,32
218,"Team VeryGames",308996.24,84
24787,"Endpoint",305399.04,45
918,"Execration",303807.43,22
24946,"Bazaar Gaming",300325.26,7
637,"Taiwanese National Team",299325,15
909,"Team Aster",298218.19,28
781,"Team QLASH",296947.42,113
24777,"NASR eSports",294871.03,15
539,"The Imperial",289505.3,51
771,"Boston Uprising",288606,7
479,"Team Eager",288250,15
24783,"Wildcard Gaming",288204.75,22
24746,"Geek Fam",285544.33,22
226,"Rave",285198.43,17
24803,"Team Unique",282226.1,34
24705,"Team Faceless",281033,10
24743,"Bigetron eSports",280794.58,7
610,"American National Team",279399.95,20
664,"FlyQuest",278786.25,23
638,"Thai National Team",277125,11
24668,"World Best Gaming",269935.69,9
120,"ESC Gaming",269572.65,292
513,"Schalke 04 Esports",266699.22,29
824,"The Gosu Crew",263015.65,37
545,"L5",259630,7
910,"J.Storm",258600,12
253,"SG e-sports",257951.55,16
230,"Pentagram G-Shock",257376.53,18
143,"MBCGame HERO",257121.26,44
200,"Team NoA",256297.62,25
24918,"Shoot To Kill",255578.75,22
24958,"New York Subliners",255450,6
735,"Myztro Gaming",253503.2,85
347,"CM Storm",253404.17,74
660,"Bravado Gaming",252172.1,50
709,"Pantech",251990.64,23
646,"Escape Gaming",251687.9,11
24819,"VC Gaming",251280.6,3
863,"Washington Justice",250000,1
24793,"Team One",249251.31,37
656,"Tainted Minds",245856.29,74
197,"Copenhagen Wolves",244670.54,85
24784,"Susquehanna Soniqs",244486.11,18
716,"Isurus Gaming",244325.41,54
24900,"Become Legends",242330,24
930,"Chivo SC",239973.64,65
575,"Albus NoX Luna",238702.5,3
818,"Hanbit Stars",237891.93,34
579,"German National Team",237642.92,41
24774,"Riot Squad Esports",235900,12
405,"Legacy eSports",233304.16,92
268,"Keyd Stars",229889.54,76
543,"RED Canids",229513.1,48
233,"TCM Gaming",229316.24,106
951,"Team GamerLegion",226053.76,29
712,"Team NP",224679,9
808,"Team Gigantti",224542.69,13
214,"Clan 519",223840,36
499,"Team Naventic",221569,11
24950,"Osh-Tekk Warriors",219867,6
208,"KaBuM! e-Sports",218990.53,32
224,"Big God",218550.13,2
25071,"QueeN Walkers",216250,5
584,"Swedish National Team",215173.01,32
707,"Movistar Riders",212677.45,61
775,"Florida Mayhem",212672.5,8
24839,"Thailand National Player",209815.58,4
367,"Carolina Core",209000,9
652,"Greatest Ones",208896.98,30
834,"Gentside Esports Club",208138.92,18
748,"beastcoast",202932.79,61
793,"Bilibili Gaming",202383.4,10
24812,"Made in Thailand",201993.65,50
531,"Saigon Jokers",201934.86,25
24818,"DeToNator",201315.97,29
730,"Mock-It eSports",201072.83,101
743,"Kaos Latin Gamers",198769.35,14
24722,"CYCLOPS athlete gaming",197215.81,23
408,"X-Team",195470.53,89
281,"Bad Monkey Gaming",194102.35,23
24881,"Crazy Raccoon",193521,15
736,"Young Miracles",193302,5
414,"Dark Passage",191821.49,29
675,"Team RivaL",190805.2,13
452,"Avant Gaming",190640.73,48
453,"Paradigm",190000,4
24733,"Illuminate",189699.05,12
582,"Ukranian National Team",188738.18,17
589,"Canadian National Team",188625,18
955,"Quincy Crew",186422,12
862,"We Dem Girlz",184834.71,38
745,"Lyon Gaming",184012.05,16
106,"Quantic Gaming",183554.62,105
780,"Minnesota RØKKR",183500,6
24832,"ORDER",183455.44,25
297,"Empire Arcadia",183244.66,485
521,"Selfless Gaming",181464.8,93
24874,"MEGA Esports",178132.37,14
966,"Team Heretics",177884.23,26
777,"Luminous Stars",177829.84,10
661,"M19",176847.4,19
164,"Axiom eSports",176342.72,109
24971,"MCES",174970,6
912,"VRS Coanda Simsport",171340.69,12
275,"Prophecy",169940.32,28
24672,"Vikin.gg",169906.93,23
922,"Tigers",169171.28,5
149,"Serious Gaming",167729.16,99
24813,"Armory Gaming",166106.61,19
677,"Astral Authority",164000,9
398,"CNB e-Sports Club",163105.89,55
24879,"TrainHard eSport",162646.6,20
127,"Gama Bears",162263.28,26
228,"HyperGloryTeam",160922.77,9
700,"Greek National Team",159600,4
653,"Arma Team",158510,104
24715,"Team Adroit",156240.3,18
266,"Planetkey Dynamics",155606.2,135
416,"Positive Energy",154778.03,8
949,"Williams Esports",153859.84,19
24704,"SANDBOX Gaming",153807.9,6
678,"Scythe Gaming",153705.22,6
941,"FAV gaming",152899.94,8
958,"FC Barcelona",152734.86,15
24716,"Paris Legion",152500,5
341,"Team King",152173.93,9
588,"Finnish National Team",152018.78,21
24776,"Raise Your Edge Gaming",151147.41,97
24709,"KaiZi Gaming",150085.32,92
24902,"Executors One",150000,2
762,"Miraculous Youngster",148594.21,7
223,"team9",148390.78,15
24775,"Copenhagen Flames",146660.02,34
962,"SinoDragon",146609.8,5
262,"Vox Eminor",144519.35,39
165,"eSTRO",144168.13,34
739,"PRIDE Gaming",143960.4,85
24682,"Veloce Esports",143718.18,14
389,"Maximum Impact Gaming",143000.29,7
764,"Pompa Team",142770.29,56
926,"Mkers",142602.5,66
246,"Team Orbit",141611.99,42
263,"Frag eXecutors",141281.27,21
24844,"SJ Gaming",140221.04,33
302,"London Conspiracy",139286.29,41
715,"froyotech",138797.99,42
24851,"Libalent",137762,4
734,"Blank Esports",137105.66,8
174,"Western Wolves",136088.53,57
312,"Dead Pixels",134260.26,255
483,"Team No Limit",132718.55,9
24899,"Helsinki REDS",131792.37,9
783,"Team Aretuza",130156.66,13
404,"Bangkok Titans",129837.01,22
24829,"Athletico",129815.28,26
742,"Fade 2 Karma",128987.34,55
277,"n!faculty",127207.69,45
767,"Houston Outlaws",126172,4
24907,"Nemiga Gaming",126073.56,38
841,"Team Gamer Sensei",125255.28,9
314,"Karont3 e-Sports Club",124836.17,44
257,"Team Tinker",124439.09,15
316,"Beşiktaş e-Sports Club",122459.89,23
380,"Lemondogs",122243.96,16
24864,"QConfirm",122099.88,7
937,"PONOS Sports",121666.67,7
357,"San Francisco Optx",121500,6
409,"True eSport",120324.44,192
682,"Kuala Lumpur Hunters",119837.07,26
486,"Zenith of Origin",119710.33,80
222,"emuLate!",118230.2,19
24814,"Purple Mood E-Sport",117777.98,17
587,"Polish National Team",117487.56,20
24878,"MCES",117150,22
264,"Lions",116405.03,28
243,"Speed Gaming",116355.64,10
180,"Cascade",116306.08,186
24872,"SCARZ",116067.36,23
219,"iBUYPOWER",115208.84,28
512,"VfL Wolfsburg",113365.89,39
24788,"Lowkey Esports",112714.24,12
203,"3DMAX",112024.44,51
24796,"Triumph",111000,31
608,"British National Team",110840.6,14
443,"ESC Ever",110031.24,7
235,"Strictly Business",109630,13
733,"Pirates of Space",109426.35,11
24906,"k1ck eSports Club",109369.6,20
373,"LMQ",109112.01,8
24969,"Tribe Gaming",109000,10
24953,"Divine Vendetta",108706,5
24825,"Divine Esports",107996.41,8
125,"PanDarea",107615.42,21
602,"Danish National Team",107060.17,18
157,"Wayi Spider",106696.22,50
642,"OnGameNet SPARKYZ",106588.09,21
273,"The Titans",105411.19,12
842,"4 Clovers & Lepricon",105298.45,8
489,"The MongolZ",105097.59,22
639,"Brazilian National Team",104950,9
956,"Aftermath",103663.03,81
839,"Forward Gaming",102510,11
130,"New Star HoSeo",102207.62,49
925,"Singapore Sentinels",102112.19,18
508,"LowLandLions",101849.34,68
580,"Norweigan National Team",101772.71,14
24678,"Brave Star Gaming",101624.99,97
299,"Power Rangers",101372.62,34
24821,"Genesis",101258,4
24790,"Absolute",100567.64,12
599,"Spanish National Team",100390.71,17
24744,"FDA Hublot Esports Team",1e+05,1
315,"Invasion eSport",99897.23,125
726,"OSC Elite",99817.22,147
24822,"QM Gaming",98702.56,6
687,"LuxuryWatch",98604.83,13
24842,"Entity Gaming",98585.78,29
24789,"Ground Zero Gaming",98585.56,17
175,"apeX eSports",98456.11,12
290,"Ocean Gaming",97841.4,51
927,"PSV eSports",97739.65,13
914,"Grayhound Gaming",97656.67,15
650,"Circa eSports",97505.64,85
666,"Burrito Esports",96739.21,24
475,"Xenics",96343.91,16
24785,"Infinity Esports",96311.55,24
625,"Ajax Amsterdam eSports",96306.49,23
24820,"The Rumblers",96000,5
138,"ZeNEX",95798.79,46
24857,"Estral Esports",95250,10
25065,"Vatang",95000,3
24671,"Northern Gaming",94624.01,27
24795,"PACT",94484.67,27
392,"Team FeaR",93745.05,13
188,"Begrip Gaming",93132.67,16
635,"Australian National Team",93025,11
965,"ARCY",92840.1,18
523,"Dream Team",92697.96,28
24933,"ad hoc gaming",91869.3,32
24866,"FURY",91603.28,12
851,"Paris Eternal",91600,3
24836,"k23",90408.63,26
938,"GameWith",90166.67,4
386,"Cats Gaming",89169.97,72
293,"Noble eSports",88863.18,31
329,"Team Malaysia",88584.27,9
24847,"Fighting PandaS",88000,5
24772,"Swole Patrol",88000,24
24737,"FATE Esports",87941.1,10
24801,"Simplicity Esports",87593,10
24845,"KOVA Esports",87185.26,16
24720,"Syman Gaming",86874,18
746,"Team TopDeck",86574.32,8
644,"iGame.com",86488.02,18
859,"Guangzhou Charge",86250,3
503,"Hard Random",85851.35,13
176,"Exile5",85215.15,86
24745,"Alfa Romeo Racing F1 Esports Team",85000,1
616,"Project_kr",84790.5,8
24963,"DefuseKids",84680.98,29
148,"vVv Gaming",84551.07,19
591,"Turkish National Team",84079.22,8
520,"Phoenix1",83633.03,52
592,"Argentinian National Team",82858.56,9
24713,"Tornado Energy",82594.1,11
371,"Winterfox",82490.52,67
643,"1907 Fenerbahçe Esports",82472.84,9
598,"Dutch National Team",82238.35,16
684,"Fable eSports",81868.5,10
612,"Team Skadis Gift",80797.99,10
759,"Dallas Fuel",80000,3
779,"Brøndby IF eSport",79770,8
690,"Italian National Team",77500,11
593,"Czech National Team",76383.55,6
191,"a-Losers",76316.94,20
946,"McLaren Shadow",76000,2
24750,"Trelleborg Team",75109.31,13
24877,"MnM Gaming",74883.49,33
24815,"Hive",74500,7
24948,"Team Flash",74289.52,3
761,"GameTV",73257.32,71
439,"FM eSports",73006.75,29
24714,"Northern Lights",72850,8
786,"Clutch Gaming",72812.5,3
24826,"Sunsister",71749.7,15
308,"Automatic Reload",71575,5
24674,"Mazer Gaming",70194.09,10
457,"Berlin Allianz",70000,2
25012,"The Peeps",69250,5
206,"LGB eSports",68457.08,23
24883,"Yeah Gaming",68013.67,26
217,"Team Property",67644.03,33
320,"SBENU",66726.07,32
24865,"Xavier Esports",66681.25,12
274,"EYEBALLERS",66301.88,8
464,"Team Question Mark",66060.56,4
434,"AT Gaming",66009.56,65
454,"Alien Invasion",65878.06,130
696,"Japanese National Team",65500,8
24890,"Cream Esports",65435.45,7
24717,"ATK",64768.13,18
330,"VwS Gaming",64345.79,152
844,"Sigma",63620.13,9
108,"CheckSix Gaming",63515.24,35
550,"Most Valuable Gaming",63452.53,75
799,"Wind and Rain",63238.65,33
940,"Mercedes-AMG Petronas Esports",62500,2
714,"Team Random",62500,1
723,"Thunderbirds",62500,1
626,"Manchester City eSports",62400,11
24702,"Team Redline",62400,7
24991,"Optimal Ambition",62333.34,3
339,"Hong Kong Esports",62332.6,9
711,"Team Zenith",62312.76,9
24683,"Triple Trouble",62286.7,9
24893,"Third Impact",61095,13
129,"For Our Utopia",60175.76,19
417,"Team Hearthlytics",60010,15
393,"Team Vulcun",60000,3
473,"Team Coast",59950,10
753,"Ronin Esports",59576.2,13
835,"Oserv Esport",59506.41,9
788,"Team Catch-Gamer",59263.61,10
24725,"x3o",59100.8,15
24903,"M10 Esports",59100,10
957,"Polar Ace",58913.81,15
794,"TitanEX1",58132.79,64
334,"Team Dragon Knights",58000,7
24861,"mudgolems",57750,3
24859,"Rated R",57000,6
524,"AGAiN",56847.13,9
915,"Omnislash",56822.83,14
471,"Ocrana",56810.11,10
25018,"sAw",56653.84,14
352,"Anexis eSports",56625.39,33
943,"Sauber F1 Esports Team",56000,2
820,"Winners",55812.77,13
25060,"Darkest MuZhan",55000,3
354,"GamingGear.eu",54909.4,8
24882,"Raised by Kings",54837.6,5
239,"Spirit of Amiga",54646.44,21
857,"Toronto Defiant",54400,3
