"TournamentId","GameId","TournamentName","StartDate","EndDate","Location","Teamplay","TotalUSDPrize"
44348,393,"TimCon Monthly #3","2020-11-29","2020-11-29","Europe",0,199.64
44349,655,"Timechasers Trackmania Challenger Series","2020-11-13","2020-11-29","Online",1,614.61
44345,245,"A1 Adria League Season 6: Playoffs","2020-11-28","2020-11-28","Online",1,13159.63
44368,646,"GameGune 22","2020-11-23","2020-11-28","Online",1,11400
44344,245,"Merkur Masters Season 2: Finals","2020-11-26","2020-11-28","Online",1,41871.55
44374,179,"Rusaoc Cup 48","2020-11-28","2020-11-28","Online",0,69
44416,439,"Six November 2020 Major - Oceania","2020-11-26","2020-11-28","Online",1,30000
44343,393,"Test Tournament Series: November (EU)","2020-11-21","2020-11-28","Europe",1,15000
44342,655,"UNKup","2020-11-28","2020-11-28","Online",0,472.78
44338,245,"CBCS 2020: The Revenge Playoffs","2020-11-05","2020-11-27","Online",1,5612.1
44339,245,"ESEA EU CS:GO IM Season 35 - Playoffs","2020-11-11","2020-11-27","Online",1,8500
44337,245,"King of Nordic - Season 17: Week #5","2020-11-27","2020-11-27","Online",1,598.02
44417,439,"Six November 2020 Major - South Asia","2020-11-26","2020-11-27","Online",1,15000
44367,179,"Team Game Showmatch Featuring BacT, TheViper, Hera, MbL, Liereyy, and TheYo","2020-11-27","2020-11-27","Online",1,600
44328,655,"Edelweiss Monthly Cup - November 2020","2020-11-26","2020-11-26","Online",0,109.76
44326,245,"ESEA EU CS:GO MDL Season 35 - Playoffs","2020-11-21","2020-11-26","Online",1,30000
44334,179,"Freaking Clan vs Daywalker and I2aGE Bo5 DM Showmatch","2020-11-26","2020-11-26","Online",1,50
44324,245,"Elgiganten Ligaen - Sæson 15 Playoffs","2020-11-24","2020-11-25","Online",1,6723.78
44323,245,"Nine to Five #6","2020-11-09","2020-11-25","Online",1,50000
44401,558,"The Box: Lunch Box #6","2020-11-25","2020-11-25","Online",0,1000
44321,245,"Aorus League 2020 - Season 4","2020-11-24","2020-11-24","Online",1,6000
44206,711,"Minnesota RØKKR Totinos Black Ops Brawl","2020-11-24","2020-11-24","Online",1,20000
44354,547,"Titled Tuesday November 2020 #4","2020-11-24","2020-11-24","Online",0,1598
44336,647,"Twitch Rivals: Escape from Tarkov Showdown #2 Europe","2020-11-24","2020-11-24","Europe",1,30000
44369,647,"Twitch Rivals: Escape from Tarkov Showdown #2 North America","2020-11-24","2020-11-24","North America",1,30000
44475,566,"ALGS Autumn Circuit #4 - Europe","2020-11-21","2020-11-23","Online",1,10500
44472,566,"ALGS Autumn Circuit #4 - North America","2020-11-21","2020-11-23","Online",1,10500
44488,628,"CTWC 2020 Silver Bracket","2020-11-22","2020-11-23","Online",0,400
