"id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
657,"Trackmania Turbo",679.41,2,6
613,"Acceleration of SUGURI 2",310,2,6
667,"Akatsuki Blitzkampf",20,1,3
508,"ARMS",18248.09,82,95
668,"Asuka 120% LimitOver BURNING Fest.",10,1,3
570,"Dead or Alive 6",64232.54,18,63
670,"Digimon Rumble Arena",70,1,3
581,"Fighting EX Layer",1642.96,7,16
461,"Koihime Enbu",1665,6,13
677,"Maiden & Spell",200,1,3
194,"Marvel vs. Capcom 2",39060,28,60
606,"Million Arthur: Arcana Blood",7430,3,9
678,"Naruto: Gekitou Ninja Taisen! 4",200,1,3
506,"Pokkén Tournament DX",20275.4,26,43
680,"Power Instinct: Matrimelee",50,1,3
614,"Power Rangers: Battle for the Grid",1390,4,11
682,"Project Plus",20,1,3
580,"Sailor Moon S",3201.19,11,18
689,"SLAYERS FOR HIRE",500,1,8
690,"Speedrunners",50,1,3
691,"Panel Attack",40,1,3
676,"The Last Blade 2",20,1,3
692,"Twinkle Star Sprites",100,1,3
640,"Under Night In-Birth Exe:Late[cl-r]",1050,2,7
330,"Super Smash Bros.",68082.81,123,234
587,"Windjammers",4172.16,11,32
557,"Old School Runescape",422504.2,22,66
460,"Catherine",1545,7,11
669,"Def Jam: Fight for NY",170,1,3
671,"Duck Game",250,1,3
339,"Ultra Street Fighter IV",816713.46,229,231
495,"Guilty Gear Xrd REV 2",116634.7,49,101
674,"HYPERFIGHT",50,1,3
333,"Killer Instinct (2013)",224466.96,53,128
679,"Pocket Rumble",60,1,3
685,"Samurai Shodown III",30,1,3
686,"Schwarzerblitz",100,1,3
687,"Shrek SuperSlam",50,1,3
688,"Slap City",300,1,3
167,"Street Fighter III: 3rd Strike",49378.86,35,83
441,"King of Fighters XIV",72902.09,37,90
616,"Them's Fightin' Herds",580,4,10
618,"Umineko: Golden Fantasia",140,2,6
665,"Internet Chess Club",10000,1,6
597,"Arcana Heart 3: Love Max Six Stars!!!!!",570,4,8
612,"Kill la Kill the Game: IF",920,4,12
562,"Mario Tennis Aces",61.3,2,6
458,"Melty Blood: Actress Again Current Code",8587.76,18,48
683,"Punch Planet",300,1,3
684,"Roof Rage",50,1,3
459,"Skullgirls 2nd Encore",18321,12,34
644,"Legends of Runeterra",118481.03,5,30
653,"Prophecy",13000,4,27
387,"Unreal Tournament (2016)",5084.97,8,82
374,"Super Smash Bros. for Wii U",1511976.47,1022,1264
205,"Super Smash Bros. Brawl",246715.83,344,499
642,"Street Fighter V: Champion Edition",33628.66,2,10
564,"Shadowverse",3211177.09,42,239
586,"Brawl Stars",94950,10,51
583,"Mortal Kombat 11",392602.33,37,158
588,"Dota Underlords",26024.18,36,62
541,"Dragon Ball FighterZ",337985.4,73,159
536,"Street Fighter V: Arcade Edition",2017135.95,100,229
511,"Under Night In-Birth EXE: Late[st]",46553.33,34,98
442,"King of Fighters 2002 Unlimited Match",760,2,6
241,"King of Fighters XIII",44724.28,43,107
641,"Magical Drop III",130,1,3
593,"Samurai Shodown (2019)",68009.91,15,58
594,"Mario Kart 8 Deluxe",1754.44,4,30
509,"Splatoon 2",10055,7,13
166,"Super Street Fighter II Turbo",23678.05,44,104
158,"WarCraft III",5811479.73,1335,558
548,"BlazBlue: Cross Tag Battle",82800.03,31,89
195,"Capcom vs. SNK 2",24186.79,19,36
470,"Marvel vs. Capcom: Infinite",42482.12,19,49
599,"Mystery Game Tournament",10995,8,56
334,"Guilty Gear XX Accent Core Plus R",4640,19,61
249,"Ultimate Marvel vs. Capcom 3",116733.16,169,190
510,"Age of Empires",190075.61,95,246
633,"Dirt Rally 2.0",10000,2,5
634,"UNO",20000,2,16
610,"F1 2019",538047.38,2,25
603,"Ring of Elysium",70000,4,9
636,"Shovel Knight Showdown",60,1,3
627,"TEPPEN",456721.47,1,12
528,"Battalion 1944",185654.67,21,114
632,"GRID (2019)",218.75,1,3
155,"Halo 3",2158079.4,41,210
156,"Halo: Reach",822089.97,29,101
489,"Attack on Titan Tribute Game",108650,15,21
165,"World of WarCraft",4957837.61,118,413
589,"Auto Chess",1076322.28,6,72
623,"WWE 2K20",50000,2,20
385,"Street Fighter Alpha 2",1390,8,17
635,"Big Buck Hunter Arcade",76200,1,3
187,"Tekken 5: Dark Resurrection",12180,5,18
341,"Virtua Fighter 5 Final Showdown",573.77,6,28
331,"Project M",205292.09,335,560
561,"Project Cars 2",66150,22,37
389,"Persona 4 Arena Ultimax",18828.16,19,58
625,"Asphalt 9: Legends",51520,2,5
622,"Borderlands 3",50000,1,16
434,"Street Fighter V",2202726.43,120,233
