"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"158",610,"American National Team",2500,1
"159",24678,"Brave Star Gaming",2500,1
"160",178,"Pulse Esports",2400,2
"161",398,"CNB e-Sports Club",2398.53,2
"162",112,"SK Gaming",2140.21,1
"163",24961,"Team Sampi",2117,1
"164",233,"TCM Gaming",2000,1
"165",24970,"Global Esports",1812.5,1
"166",706,"Dark Sided",1500,1
"167",105,"It's Gosu eSports",1294.61,3
"168",442,"EURONICS Gaming",1065.78,1
"169",591,"Turkish National Team",1000,1
"170",248,"Team Infused",955.34,2
"171",24742,"Dragon Phoenix Gaming",900,1
"172",791,"Playing Ducks",888.15,1
"173",24814,"Purple Mood E-Sport",761.5,1
"174",24718,"Project EVERSIO",597.51,1
"175",24785,"Infinity Esports",500,1
"176",661,"M19",500,1
"177",380,"Lemondogs",300,1
"178",615,"DTS Gaming",250,1
"179",632,"Defenses Geniuses",151.45,2
"180",24890,"Cream Esports",100,1
"181",577,"Ting",76.2,2
"182",631,"Rabbit Deaf e-Sports",52.21,2
"183",395,"PSISTORM Gaming",50,2
"184",633,"GuildWars",21.92,1
