"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"153",718,"Mysterious Monkeys",43725.44,12
"154",333,"Team Impulse",43000,5
"155",665,"bbq Olivers",42359.3,6
"156",609,"Chinese National Team",41979.68,3
"157",220,"Team Roccat",40741,4
"158",508,"LowLandLions",37878.95,24
"159",24877,"MnM Gaming",37863.71,18
"160",225,"EHOME",37178.8,5
"161",24906,"k1ck eSports Club",36573.9,2
"162",109,"Team Acer",36419,11
"163",195,"Epsilon eSports",36241.75,9
"164",586,"French National Team",35000,1
"165",799,"Wind and Rain",34268.33,8
"166",320,"SBENU",32514.95,4
"167",852,"Team Atlantis",31838.08,5
"168",233,"TCM Gaming",31778.14,6
"169",441,"Huma",31178.54,4
"170",412,"Team LoLPro",30750,10
"171",159,"Absolute Legends",30250.5,20
"172",248,"Team Infused",30044.6,16
"173",510,"Epik Gamer",29750,6
"174",583,"Korean National Team",29045.2,4
"175",426,"OverGaming",28167.11,13
"176",163,"Natus Vincere",27982.97,7
"177",834,"Gentside Esports Club",27863.37,9
"178",24830,"CrowCrowd",27544.82,3
"179",519,"Apex Gaming",27500,2
"180",707,"Movistar Riders",26977.02,6
"181",671,"Tricked eSports",25812.48,26
"182",474,"Good Game University",25700,2
"183",277,"n!faculty",24983.15,9
"184",345,"Masters 3",24718,2
"185",25010,"Echo Zulu",23885.7,13
"186",439,"FM eSports",23731.54,11
"187",789,"KSV eSports",23270,2
"188",316,"Beşiktaş e-Sports Club",23127.81,7
"189",431,"Team Fusion",23000,3
"190",833,"Solary",22660.24,15
"191",352,"Anexis eSports",22435.24,8
"192",450,"Inspire Esports",22297.9,4
"193",351,"Gameburg Team",22140.16,6
"194",931,"Triumphant Song Gaming",22007.4,2
"195",24886,"Sector One",21988.63,15
"196",708,"Team Singularity",21860.26,8
"197",445,"Ember",21500,2
"198",579,"German National Team",21000,2
"199",673,"Gold Coin United",20000,2
"200",437,"E-corp Gaming",19673.16,9
"201",422,"Ex Nihilo",19551.02,6
"202",152,"Eclypsia",18710.87,7
"203",246,"Team Orbit",18250,11
"204",115,"Team Empire",17336.53,6
"205",25039,"Rainbow7",16875,1
"206",314,"Karont3 e-Sports Club",16783.6,3
"207",24788,"Lowkey Esports",16687.5,1
"208",24849,"Royal Youth",16687.5,1
"209",514,"Hyper Youth Gaming",16108,1
"210",387,"EloHell",15643.43,4
"211",541,"Game Talents",15013.4,1
"212",472,"Odyssey Gaming",15000,2
"213",803,"DAN Gaming",14528.5,1
"214",114,"mTw",14418.35,7
"215",392,"Team FeaR",14350,8
"216",476,"Sinners Never Sleep",14302.87,4
"217",663,"eUnited",14000,2
"218",448,"Operation Kino eSports",13300.12,8
"219",120,"ESC Gaming",12923.17,11
"220",504,"Rebels Anarchy",12814.95,2
"221",690,"Italian National Team",12500,1
"222",106,"Quantic Gaming",12500,3
"223",263,"Frag eXecutors",12000,2
"224",283,"COGnitive Gaming",11000,5
"225",739,"PRIDE Gaming",10935.48,6
"226",388,"myRevenge",10682.92,5
"227",266,"Planetkey Dynamics",10332.46,16
"228",371,"Winterfox",10000,1
"229",600,"Serbian National Team",9427.12,2
"230",322,"Team Kinguin",9022.58,1
"231",25009,"Dynasty",8356.55,7
"232",725,"Red Bulls",8241.45,1
"233",432,"Team Innova",8000,1
"234",337,"Tempo Storm",8000,2
"235",528,"Valencia CF eSports",7993.25,6
"236",24869,"CERBERUS Esports",7922.53,2
"237",599,"Spanish National Team",7500,1
"238",407,"Brave e-Sports",7387.4,6
"239",478,"Fraternitas",7363.92,8
"240",353,"Heimerdinger's Colossi",7285.84,6
"241",647,"V8 eSports",7250,3
"242",148,"vVv Gaming",7250,4
"243",136,"StarTale",7028.66,3
"244",24818,"DeToNator",7000,2
"245",792,"Golden Guardians",7000,1
"246",765,"GC Busan",6867.7,2
"247",323,"x6tence",6646.08,4
"248",205,"PENTA Sports",6483.45,13
"249",168,"mYinsanity",6398.8,5
"250",434,"AT Gaming",6354.65,6
"251",428,"MKZ",6345.52,2
"252",346,"Assassin Sniper",6308.4,2
"253",849,"Nordavind",6230.4,2
"254",601,"Philippines National Team",6000,1
"255",614,"Team WinFakt",5814.9,1
"256",481,"Supremacy",5764.98,3
"257",963,"FURIA Esports",5712.36,2
"258",211,"Team Secret",5324.85,1
"259",791,"Playing Ducks",5078.29,3
"260",732,"RunAway",5040,1
"261",178,"Pulse Esports",4549,9
"262",846,"Nova eSports",4500,1
"263",496,"Team gamed!de",4336.74,3
"264",25008,"Brussels Guardians",4326.44,5
"265",399,"T Show",4317.68,2
"266",423,"nerdRage",4079.41,2
"267",377,"Benched Gaming",4054.84,5
"268",637,"Taiwanese National Team",4000,1
"269",379,"DragonBorns",3965.4,1
"270",295,"Imaginary Gaming",3895.09,2
"271",561,"TnC Gaming",3834.9,3
"272",24932,"mCon esports Rotterdam",3779.33,4
"273",927,"PSV eSports",3418.65,2
"274",24679,"Konix eSport",2980.18,8
"275",286,"Orange Esports",2876.01,2
"276",406,"3sUP Enterprises",2863.5,1
"277",25011,"⁠Team THRLL",2848.88,2
"278",24929,"Riddle Esports",2844.55,1
"279",24898,"Valhalla Vikings",2844.55,1
"280",501,"GODSENT",2757.5,1
"281",589,"Canadian National Team",2500,1
"282",158,"4Kings",2422.88,1
"283",25004,"KV Mechelen",2142.65,2
"284",254,"Exertus eSports",2113.41,2
"285",146,"Salade Tomate Oignon",2061.31,1
"286",360,"Grow uP Gaming",1971.37,2
"287",24875,"ArkAngel",1700,1
"288",157,"Wayi Spider",1653.7,1
"289",24775,"Copenhagen Flames",1549.5,1
"290",217,"Team Property",1527.37,1
"291",376,"GSI Gaming",1509.61,1
"292",610,"American National Team",1500,1
"293",24842,"Entity Gaming",1500,1
"294",25005,"Aethra Esports",1467.63,1
"295",292,"Rock Solid",1300,2
"296",174,"Western Wolves",1254.75,2
"297",394,"XDG Gaming",1250,1
"298",378,"Awsomniac",1174.28,1
"299",25006,"Team 7AM",1174.1,1
"300",659,"Keep Gaming",1114.79,1
"301",24677,"Team Oplon",1098.23,4
"302",25007,"RSC Anderlecht Esports",880.58,1
"303",24718,"Project EVERSIO",774.03,2
"304",24961,"Team Sampi",744.58,2
"305",24852,"Inside Games",694.8,2
"306",668,"Asterion",552.75,1
"307",24701,"eMonkeyz",544.15,1
"308",381,"SUPA HOT CREW XD",350,1
"309",631,"Rabbit Deaf e-Sports",78.39,1
"310",680,"Extreme Dive Gaming",0,1
