08.09.2017;Seed;Social & Communication;;Guilded;$3.20M
07.09.2017;Seed;Esports, Streaming, Betting;;Taunt;$1.75M
07.09.2017;Series a;Streaming;;Maestro;$3.00M
05.09.2017;Series a;AR/VR, Publishers & Developers;;Fast Travel Games;$2.10M
30.08.2017;Series a;Esports;;Gamer Sensei;$4.00M
23.08.2017;Series a;Esports, AR/VR, Streaming;;Sliver.tv;$9.80M
22.08.2017;Series a;Esports;;Znipe.tv;$3.70M
21.08.2017;Acquisition;Publishers & Developers;;Black Forest Games;$1.10M
14.08.2017;Venture;Publishers & Developers, PC;;Novaquark;$3.70M
10.08.2017;Series a;Streaming;;GawkBox;$3.70M
10.08.2017;Acquisition;Mobile, Publishers & Developers;;Plarium;$500M
08.08.2017;Acquisition;Publishers & Developers;;Eden Games;$10.5M
08.08.2017;Series d;Mobile, Publishers & Developers;;Super Evil Megacorp;$19.0M
08.08.2017;Series a;Esports;;Team Envy;$35.0M
02.08.2017;Series a;Esports;;Smash.gg;$11.0M
28.07.2017;Corporate;Publishers & Developers;;Frontier Developments;$23.0M
27.07.2017;Seed;Analytics, Esports;;FanAI;$1.80M
26.07.2017;Acquisition;Hardware, Peripherals;;Corsair Components;$525M
25.07.2017;Venture;Esports, Streaming;;O'Gaming TV;$2.50M
24.07.2017;Acquisition;Esports;;CEVO LLC;$2.70M
24.07.2017;Acquisition;Publishers & Developers;;Kongregate;$55.0M
19.07.2017;Seed;Mobile, Social & Communication;;Plexchat;$7.00M
11.07.2017;Seed;Social & Communication;;Guilded;$120K
11.07.2017;Acquisition;Peripherals;;Astro Gaming;$85.0M
10.07.2017;Seed;Esports;;Matcherino;$1.50M
07.07.2017;Grant;Analytics, Esports;;GameScorekeeper;$238K
06.07.2017;Seed;Analytics, Esports;;Pandascore;$2.90M
30.06.2017;Acquisition;Publishers & Developers;;Triumph Studios;$4.80M
29.06.2017;Series c;Esports;;Super League Gaming;$15.0M
28.06.2017;Venture;Esports;;BLAST entertainment;$8.10M
15.06.2017;Series c;Mobile, Publishers & Developers;;Scopely;$60.0M
12.06.2017;Acquisition;AR/VR;;Enterspace;$2.30M
01.06.2017;Grant;Publishers & Developers;;1939 Games;$410K
30.05.2017;Acquisition;Publishers & Developers, Mobile, PC;;eRepublik Labs;$9.00M
23.05.2017;Acquisition;Publishers & Developers, Mobile;;Space Ape Games;$55.8M
11.05.2017;Ipo;Console, PC, Publishers & Developers;;Remedy Entertainment;$15.0M
